"","months","price","city","state"
"1",2020-05-01,139.379304234836,"Sydney","New South Wales"
"2",2020-06-01,139.100778923942,"Sydney","New South Wales"
"3",2020-08-01,131.409115596202,"Sydney","New South Wales"
"4",2020-09-01,131.297279414086,"Sydney","New South Wales"
"5",2020-10-01,131.587978175497,"Sydney","New South Wales"
"6",2020-11-01,132.131193620081,"Sydney","New South Wales"
"7",2020-12-01,136.053768067896,"Sydney","New South Wales"
"8",2021-01-01,134.93574522967,"Sydney","New South Wales"
"9",2021-02-01,134.993200888859,"Sydney","New South Wales"
"10",2021-03-01,134.949857262804,"Sydney","New South Wales"
"11",2021-04-01,135.123777610613,"Sydney","New South Wales"
