"","months","price","number_of_reviews","review_count_change","city"
"1",2020-05-01,139.379304234836,16.0674207075778,NA,"Sydney"
"2",2020-06-01,139.100778923942,15.8114943911461,3282,"Sydney"
"3",2020-08-01,131.409115596202,16.3823539717579,12085,"Sydney"
"4",2020-09-01,131.297279414086,15.4586924266818,3231,"Sydney"
"5",2020-10-01,131.587978175497,15.3944183351574,6504,"Sydney"
"6",2020-11-01,132.131193620081,15.4349915021571,4200,"Sydney"
"7",2020-12-01,136.053768067896,15.2211908234982,9610,"Sydney"
"8",2021-01-01,134.93574522967,15.2541420020503,6044,"Sydney"
"9",2021-02-01,134.993200888859,15.1901429471659,5558,"Sydney"
"10",2021-03-01,134.949857262804,15.3009907640638,5816,"Sydney"
"11",2021-04-01,135.123777610613,15.5761471654243,12135,"Sydney"
